iter	RMSE
343	0.4082747835
344	0.407264535
345	0.4070160098
346	0.406606847
347	0.4057229865
348	0.4053293597
349	0.4051009026
350	0.4044584543
351	0.4037950566
352	0.4032129526
353	0.402613314
354	0.4017643737
355	0.4012639305
356	0.4007441815
357	0.4002015356
358	0.3998209244
359	0.3994983398
360	0.3991197617
361	0.3979976364
362	0.3970275727
363	0.3967827494
364	0.3960960611
365	0.3944523843
366	0.3937423171
367	0.3931963417
368	0.3926531787
369	0.3925238251
370	0.3920025716
371	0.3913857942
372	0.3912568365
373	0.3903128423
374	0.3898700416
375	0.3895182272
376	0.3893298766
377	0.388570471
378	0.386803656
379	0.3864786525
380	0.3849500112
381	0.3846665795
382	0.3845097317
383	0.3835977394
384	0.3821294436
385	0.3812623193
386	0.3806267401
387	0.3802420382
388	0.3794164077
389	0.3790534617
390	0.3785213054
391	0.3778880175
392	0.3776582808
393	0.3771739459
394	0.3768179217
395	0.3747211495
396	0.3740120897
397	0.3739337011
398	0.3732896615
399	0.3729285856
400	0.3716426012
401	0.3711056129
402	0.3708354724
403	0.3702952214
404	0.3690567478
405	0.3686831056
406	0.3669783274
407	0.3665067309
408	0.3661239749
409	0.3657152773
410	0.3648499553
411	0.3645284042
412	0.3642298843
413	0.363812564
414	0.3634857665
415	0.362952544
416	0.3626610985
417	0.3616926517
418	0.3609383746
419	0.3602394097
420	0.3599546823
421	0.3594865833
422	0.3591275423
423	0.3583858535
424	0.3577992823
425	0.3575547893
426	0.3566810435
427	0.3559810288
428	0.3557228992
429	0.3552468266
430	0.3544485647
431	0.3534106025
432	0.3532491355
433	0.352813961
434	0.3527178455
435	0.352231969
436	0.3516337721
437	0.3512558769
438	0.3511783762
439	0.3510135301
440	0.3505732996
441	0.3497345738
442	0.348970761
443	0.3483328406
444	0.3480971342
445	0.3476783484
446	0.3467783138
447	0.346399796
448	0.3460769916
449	0.345431887
450	0.3446242153
451	0.343586525
452	0.3432995277
453	0.3430930034
454	0.3427633696
455	0.3425677944
456	0.3418514866
457	0.3416359955
458	0.3413049178
459	0.3410370733
460	0.3403013216
461	0.3400204503
462	0.3394171996
463	0.3385372172
464	0.3376924305
465	0.336833991
466	0.3361085345
467	0.3358126271
468	0.3354321857
469	0.3350897657
470	0.3347437603
471	0.3343608537
472	0.3339416697
473	0.3333308289
474	0.3325759353
475	0.3319887483
476	0.3314488594
477	0.3307435806
478	0.3301479597
479	0.3297103449
480	0.3294604983
481	0.3291628819
482	0.3288805963
483	0.3286885574
484	0.3281881912
485	0.327844745
486	0.3267834847
487	0.3264769272
488	0.3260840082
489	0.3252848495
490	0.3250772113
491	0.3248947861
492	0.3246745733
493	0.3243825773
494	0.324164748
495	0.323938292
496	0.32372115
497	0.3221667763
498	0.3220209516
499	0.3217923628
